y,x,zt
12.0,12.0,336.0
12.0,36.0,336.0
12.0,60.0,360.0
12.0,84.0,408.0
12.0,108.0,408.0
12.0,132.0,408.0
12.0,156.0,432.0
12.0,180.0,432.0
12.0,204.0,432.0
12.0,228.0,432.0
12.0,252.0,456.0
12.0,276.0,456.0
12.0,300.0,456.0
12.0,324.0,456.0
12.0,348.0,456.0
12.0,372.0,456.0
12.0,396.0,456.0
12.0,420.0,456.0
12.0,444.0,456.0
12.0,468.0,456.0
12.0,492.0,456.0
12.0,516.0,432.0
12.0,540.0,432.0
12.0,564.0,432.0
12.0,588.0,408.0
12.0,612.0,408.0
12.0,636.0,408.0
12.0,660.0,384.0
12.0,684.0,384.0
12.0,708.0,384.0
12.0,732.0,360.0
12.0,756.0,360.0
12.0,780.0,336.0
12.0,804.0,336.0
12.0,828.0,312.0
12.0,852.0,312.0
12.0,876.0,312.0
12.0,900.0,288.0
12.0,924.0,288.0
12.0,948.0,264.0
12.0,972.0,264.0
12.0,996.0,240.0
12.0,1020.0,216.0
12.0,1044.0,216.0
12.0,1068.0,192.0
12.0,1092.0,192.0
12.0,1116.0,216.0
12.0,1140.0,216.0
12.0,1164.0,192.0
12.0,1188.0,192.0
12.0,1212.0,168.0
12.0,1236.0,168.0
12.0,1260.0,144.0
12.0,1284.0,120.0
12.0,1308.0,120.0
12.0,1332.0,108.0
12.0,1356.0,72.0
12.0,1380.0,72.0
12.0,1404.0,72.0
12.0,1428.0,72.0
12.0,1452.0,48.0
12.0,1476.0,48.0
12.0,1500.0,48.0
12.0,1524.0,24.0
12.0,1548.0,24.0
12.0,1572.0,24.0
12.0,1596.0,24.0
12.0,1620.0,24.0
12.0,1644.0,24.0
12.0,1668.0,24.0
12.0,1692.0,24.0
12.0,1716.0,24.0
12.0,1740.0,24.0
12.0,1764.0,24.0
12.0,1788.0,24.0
12.0,1812.0,24.0
12.0,1836.0,24.0
12.0,1860.0,24.0
12.0,1884.0,24.0
12.0,1908.0,24.0
12.0,1932.0,24.0
12.0,1956.0,24.0
12.0,1980.0,24.0
12.0,2004.0,24.0
12.0,2028.0,24.0
12.0,2052.0,24.0
12.0,2076.0,24.0
12.0,2100.0,24.0
12.0,2124.0,24.0
12.0,2148.0,24.0
12.0,2172.0,24.0
12.0,2196.0,24.0
12.0,2220.0,24.0
12.0,2244.0,24.0
12.0,2268.0,24.0
12.0,2292.0,48.0
12.0,2316.0,48.0
12.0,2340.0,48.0
12.0,2364.0,48.0
12.0,2388.0,48.0
12.0,2412.0,48.0
12.0,2436.0,48.0
12.0,2460.0,48.0
12.0,2484.0,72.0
12.0,2508.0,72.0
12.0,2532.0,72.0
12.0,2556.0,72.0
12.0,2580.0,72.0
12.0,2604.0,72.0
12.0,2628.0,72.0
12.0,2652.0,96.0
12.0,2676.0,96.0
12.0,2700.0,72.0
12.0,2724.0,72.0
12.0,2748.0,72.0
12.0,2772.0,72.0
12.0,2796.0,72.0
12.0,2820.0,72.0
12.0,2844.0,72.0
12.0,2868.0,72.0
12.0,2892.0,72.0
12.0,2916.0,72.0
12.0,2940.0,72.0
12.0,2964.0,72.0
12.0,2988.0,72.0
12.0,3012.0,72.0
12.0,3036.0,72.0
12.0,3060.0,72.0
36.0,12.0,336.0
36.0,36.0,336.0
36.0,60.0,360.0
36.0,84.0,408.0
36.0,108.0,408.0
36.0,132.0,408.0
36.0,156.0,432.0
36.0,180.0,432.0
36.0,204.0,432.0
36.0,228.0,432.0
36.0,252.0,456.0
36.0,276.0,456.0
36.0,300.0,456.0
36.0,324.0,456.0
36.0,348.0,456.0
36.0,372.0,480.0
36.0,396.0,456.0
36.0,420.0,456.0
36.0,444.0,456.0
36.0,468.0,456.0
36.0,492.0,432.0
36.0,516.0,432.0
36.0,540.0,432.0
36.0,564.0,432.0
36.0,588.0,408.0
36.0,612.0,408.0
36.0,636.0,408.0
36.0,660.0,384.0
36.0,684.0,384.0
36.0,708.0,384.0
36.0,732.0,360.0
36.0,756.0,360.0
36.0,780.0,336.0
36.0,804.0,336.0
36.0,828.0,312.0
36.0,852.0,312.0
36.0,876.0,312.0
36.0,900.0,288.0
36.0,924.0,288.0
36.0,948.0,264.0
36.0,972.0,264.0
36.0,996.0,240.0
36.0,1020.0,216.0
36.0,1044.0,216.0
36.0,1068.0,192.0
36.0,1092.0,192.0
36.0,1116.0,216.0
36.0,1140.0,216.0
36.0,1164.0,192.0
36.0,1188.0,192.0
36.0,1212.0,168.0
36.0,1236.0,168.0
36.0,1260.0,144.0
36.0,1284.0,120.0
36.0,1308.0,120.0
36.0,1332.0,120.0
36.0,1356.0,72.0
36.0,1380.0,72.0
36.0,1404.0,72.0
36.0,1428.0,72.0
36.0,1452.0,48.0
36.0,1476.0,48.0
36.0,1500.0,48.0
36.0,1524.0,48.0
36.0,1548.0,24.0
36.0,1572.0,24.0
36.0,1596.0,24.0
36.0,1620.0,24.0
36.0,1644.0,24.0
36.0,1668.0,24.0
36.0,1692.0,24.0
36.0,1716.0,24.0
36.0,1740.0,24.0
36.0,1764.0,24.0
36.0,1788.0,24.0
36.0,1812.0,24.0
36.0,1836.0,24.0
36.0,1860.0,24.0
36.0,1884.0,24.0
36.0,1908.0,24.0
36.0,1932.0,24.0
36.0,1956.0,24.0
36.0,1980.0,24.0
36.0,2004.0,24.0
36.0,2028.0,24.0
36.0,2052.0,24.0
36.0,2076.0,24.0
36.0,2100.0,24.0
36.0,2124.0,24.0
36.0,2148.0,24.0
36.0,2172.0,24.0
36.0,2196.0,24.0
36.0,2220.0,24.0
36.0,2244.0,24.0
36.0,2268.0,48.0
36.0,2292.0,48.0
36.0,2316.0,48.0
36.0,2340.0,48.0
36.0,2364.0,48.0
36.0,2388.0,48.0
36.0,2412.0,48.0
36.0,2436.0,48.0
36.0,2460.0,48.0
36.0,2484.0,48.0
36.0,2508.0,72.0
36.0,2532.0,72.0
36.0,2556.0,72.0
36.0,2580.0,72.0
36.0,2604.0,72.0
36.0,2628.0,72.0
36.0,2652.0,96.0
36.0,2676.0,96.0
36.0,2700.0,72.0
36.0,2724.0,72.0
36.0,2748.0,72.0
36.0,2772.0,72.0
36.0,2796.0,72.0
36.0,2820.0,72.0
36.0,2844.0,72.0
36.0,2868.0,72.0
36.0,2892.0,72.0
36.0,2916.0,72.0
36.0,2940.0,72.0
36.0,2964.0,72.0
36.0,2988.0,72.0
36.0,3012.0,72.0
36.0,3036.0,72.0
36.0,3060.0,72.0
60.0,12.0,336.0
60.0,36.0,336.0
60.0,60.0,360.0
60.0,84.0,408.0
60.0,108.0,408.0
60.0,132.0,408.0
60.0,156.0,408.0
60.0,180.0,432.0
60.0,204.0,432.0
60.0,228.0,456.0
60.0,252.0,456.0
60.0,276.0,456.0
60.0,300.0,456.0
60.0,324.0,456.0
60.0,348.0,456.0
60.0,372.0,456.0
60.0,396.0,456.0
60.0,420.0,456.0
60.0,444.0,456.0
60.0,468.0,456.0
60.0,492.0,432.0
60.0,516.0,432.0
60.0,540.0,432.0
60.0,564.0,432.0
60.0,588.0,408.0
60.0,612.0,408.0
60.0,636.0,408.0
60.0,660.0,384.0
60.0,684.0,384.0
60.0,708.0,384.0
60.0,732.0,360.0
60.0,756.0,360.0
60.0,780.0,336.0
60.0,804.0,336.0
60.0,828.0,336.0
60.0,852.0,336.0
60.0,876.0,312.0
60.0,900.0,312.0
60.0,924.0,288.0
60.0,948.0,264.0
60.0,972.0,264.0
60.0,996.0,240.0
60.0,1020.0,240.0
60.0,1044.0,216.0
60.0,1068.0,216.0
60.0,1092.0,216.0
60.0,1116.0,216.0
60.0,1140.0,216.0
60.0,1164.0,192.0
60.0,1188.0,192.0
60.0,1212.0,168.0
60.0,1236.0,168.0
60.0,1260.0,144.0
60.0,1284.0,120.0
60.0,1308.0,120.0
60.0,1332.0,120.0
60.0,1356.0,96.0
60.0,1380.0,72.0
60.0,1404.0,72.0
60.0,1428.0,72.0
60.0,1452.0,48.0
60.0,1476.0,48.0
60.0,1500.0,48.0
60.0,1524.0,48.0
60.0,1548.0,24.0
60.0,1572.0,24.0
60.0,1596.0,24.0
60.0,1620.0,24.0
60.0,1644.0,24.0
60.0,1668.0,24.0
60.0,1692.0,24.0
60.0,1716.0,24.0
60.0,1740.0,24.0
60.0,1764.0,24.0
60.0,1788.0,24.0
60.0,1812.0,24.0
60.0,1836.0,24.0
60.0,1860.0,24.0
60.0,1884.0,24.0
60.0,1908.0,24.0
60.0,1932.0,24.0
60.0,1956.0,24.0
60.0,1980.0,24.0
60.0,2004.0,24.0
60.0,2028.0,24.0
60.0,2052.0,24.0
60.0,2076.0,24.0
60.0,2100.0,24.0
60.0,2124.0,24.0
60.0,2148.0,24.0
60.0,2172.0,24.0
60.0,2196.0,24.0
60.0,2220.0,24.0
60.0,2244.0,24.0
60.0,2268.0,48.0
60.0,2292.0,48.0
60.0,2316.0,48.0
60.0,2340.0,48.0
60.0,2364.0,48.0
60.0,2388.0,48.0
60.0,2412.0,48.0
60.0,2436.0,48.0
60.0,2460.0,48.0
60.0,2484.0,48.0
60.0,2508.0,72.0
60.0,2532.0,72.0
60.0,2556.0,72.0
60.0,2580.0,72.0
60.0,2604.0,72.0
60.0,2628.0,72.0
60.0,2652.0,72.0
60.0,2676.0,72.0
60.0,2700.0,72.0
60.0,2724.0,72.0
60.0,2748.0,72.0
60.0,2772.0,72.0
60.0,2796.0,72.0
60.0,2820.0,72.0
60.0,2844.0,72.0
60.0,2868.0,72.0
60.0,2892.0,72.0
60.0,2916.0,72.0
60.0,2940.0,72.0
60.0,2964.0,72.0
60.0,2988.0,72.0
60.0,3012.0,72.0
60.0,3036.0,72.0
60.0,3060.0,72.0
84.0,12.0,336.0
84.0,36.0,336.0
84.0,60.0,360.0
84.0,84.0,408.0
84.0,108.0,408.0
84.0,132.0,408.0
84.0,156.0,408.0
84.0,180.0,432.0
84.0,204.0,432.0
84.0,228.0,456.0
84.0,252.0,456.0
84.0,276.0,480.0
84.0,300.0,480.0
84.0,324.0,456.0
84.0,348.0,456.0
84.0,372.0,456.0
84.0,396.0,456.0
84.0,420.0,456.0
84.0,444.0,456.0
84.0,468.0,456.0
84.0,492.0,456.0
84.0,516.0,432.0
84.0,540.0,432.0
84.0,564.0,432.0
84.0,588.0,408.0
84.0,612.0,408.0
84.0,636.0,408.0
84.0,660.0,408.0
84.0,684.0,384.0
84.0,708.0,360.0
84.0,732.0,360.0
84.0,756.0,360.0
84.0,780.0,336.0
84.0,804.0,336.0
84.0,828.0,336.0
84.0,852.0,336.0
84.0,876.0,312.0
84.0,900.0,312.0
84.0,924.0,288.0
84.0,948.0,288.0
84.0,972.0,264.0
84.0,996.0,264.0
84.0,1020.0,264.0
84.0,1044.0,240.0
84.0,1068.0,240.0
84.0,1092.0,240.0
84.0,1116.0,240.0
84.0,1140.0,240.0
84.0,1164.0,216.0
84.0,1188.0,192.0
84.0,1212.0,168.0
84.0,1236.0,168.0
84.0,1260.0,168.0
84.0,1284.0,120.0
84.0,1308.0,120.0
84.0,1332.0,120.0
84.0,1356.0,96.0
84.0,1380.0,96.0
84.0,1404.0,72.0
84.0,1428.0,72.0
84.0,1452.0,48.0
84.0,1476.0,48.0
84.0,1500.0,48.0
84.0,1524.0,48.0
84.0,1548.0,24.0
84.0,1572.0,24.0
84.0,1596.0,24.0
84.0,1620.0,24.0
84.0,1644.0,24.0
84.0,1668.0,24.0
84.0,1692.0,24.0
84.0,1716.0,24.0
84.0,1740.0,24.0
84.0,1764.0,24.0
84.0,1788.0,24.0
84.0,1812.0,24.0
84.0,1836.0,24.0
84.0,1860.0,24.0
84.0,1884.0,24.0
84.0,1908.0,24.0
84.0,1932.0,24.0
84.0,1956.0,24.0
84.0,1980.0,24.0
84.0,2004.0,24.0
84.0,2028.0,24.0
84.0,2052.0,24.0
84.0,2076.0,24.0
84.0,2100.0,24.0
84.0,2124.0,24.0
84.0,2148.0,24.0
84.0,2172.0,24.0
84.0,2196.0,24.0
84.0,2220.0,24.0
84.0,2244.0,24.0
84.0,2268.0,48.0
84.0,2292.0,48.0
84.0,2316.0,48.0
84.0,2340.0,48.0
84.0,2364.0,48.0
84.0,2388.0,48.0
84.0,2412.0,48.0
84.0,2436.0,48.0
84.0,2460.0,48.0
