time,zu1_xy,y,x,rad_net*_xy
0 days 14:59:59,6.0,12.0,12.0,408.77704
0 days 14:59:59,6.0,12.0,36.0,424.24356
0 days 14:59:59,6.0,12.0,60.0,432.98013
0 days 14:59:59,6.0,12.0,84.0,398.10037
0 days 14:59:59,6.0,12.0,108.0,400.29572
0 days 14:59:59,6.0,12.0,132.0,423.08704
0 days 14:59:59,6.0,12.0,156.0,398.7193
0 days 14:59:59,6.0,12.0,180.0,400.7321
0 days 14:59:59,6.0,12.0,204.0,408.5778
0 days 14:59:59,6.0,12.0,228.0,456.5936
0 days 14:59:59,6.0,12.0,252.0,216.28223
0 days 14:59:59,6.0,12.0,276.0,213.80267
0 days 14:59:59,6.0,12.0,300.0,215.20432
0 days 14:59:59,6.0,12.0,324.0,217.91429
0 days 14:59:59,6.0,12.0,348.0,225.67038
0 days 14:59:59,6.0,12.0,372.0,224.83138
0 days 14:59:59,6.0,12.0,396.0,218.92897
0 days 14:59:59,6.0,12.0,420.0,213.03326
0 days 14:59:59,6.0,12.0,444.0,212.27509
0 days 14:59:59,6.0,12.0,468.0,211.88734
0 days 14:59:59,6.0,12.0,492.0,212.19565
0 days 14:59:59,6.0,12.0,516.0,-18.380877
0 days 14:59:59,6.0,12.0,540.0,214.09091
0 days 14:59:59,6.0,12.0,564.0,215.77148
0 days 14:59:59,6.0,12.0,588.0,-16.77061
0 days 14:59:59,6.0,12.0,612.0,214.54254
0 days 14:59:59,6.0,12.0,636.0,216.22755
0 days 14:59:59,6.0,12.0,660.0,-15.971387
0 days 14:59:59,6.0,12.0,684.0,217.40396
0 days 14:59:59,6.0,12.0,708.0,216.06842
0 days 14:59:59,6.0,12.0,732.0,-17.538303
0 days 14:59:59,6.0,12.0,756.0,217.19409
0 days 14:59:59,6.0,12.0,780.0,-17.637815
0 days 14:59:59,6.0,12.0,804.0,217.77982
0 days 14:59:59,6.0,12.0,828.0,-11.578171
0 days 14:59:59,6.0,12.0,852.0,216.93246
0 days 14:59:59,6.0,12.0,876.0,218.57079
0 days 14:59:59,6.0,12.0,900.0,-14.758565
0 days 14:59:59,6.0,12.0,924.0,401.2972
0 days 14:59:59,6.0,12.0,948.0,-18.753721
0 days 14:59:59,6.0,12.0,972.0,399.96182
0 days 14:59:59,6.0,12.0,996.0,-19.510662
0 days 14:59:59,6.0,12.0,1020.0,-17.934776
0 days 14:59:59,6.0,12.0,1044.0,402.22968
0 days 14:59:59,6.0,12.0,1068.0,-10.375797
0 days 14:59:59,6.0,12.0,1092.0,430.20627
0 days 14:59:59,6.0,12.0,1116.0,399.88324
0 days 14:59:59,6.0,12.0,1140.0,398.33127
0 days 14:59:59,6.0,12.0,1164.0,-19.699657
0 days 14:59:59,6.0,12.0,1188.0,398.0256
0 days 14:59:59,6.0,12.0,1212.0,-21.558613
0 days 14:59:59,6.0,12.0,1236.0,397.79984
0 days 14:59:59,6.0,12.0,1260.0,-20.536318
0 days 14:59:59,6.0,12.0,1284.0,-21.395866
0 days 14:59:59,6.0,12.0,1308.0,397.1451
0 days 14:59:59,6.0,12.0,1332.0,243.68356
0 days 14:59:59,6.0,12.0,1356.0,-95.306786
0 days 14:59:59,6.0,12.0,1380.0,238.99
0 days 14:59:59,6.0,12.0,1404.0,-59.42559
0 days 14:59:59,6.0,12.0,1428.0,246.46124
0 days 14:59:59,6.0,12.0,1452.0,-118.64502
0 days 14:59:59,6.0,12.0,1476.0,239.65231
0 days 14:59:59,6.0,12.0,1500.0,230.43106
0 days 14:59:59,6.0,12.0,1524.0,-194.59396
0 days 14:59:59,6.0,12.0,1548.0,-201.40172
0 days 14:59:59,6.0,12.0,1572.0,228.72475
0 days 14:59:59,6.0,12.0,1596.0,229.82436
0 days 14:59:59,6.0,12.0,1620.0,231.26573
0 days 14:59:59,6.0,12.0,1644.0,230.8109
0 days 14:59:59,6.0,12.0,1668.0,230.38954
0 days 14:59:59,6.0,12.0,1692.0,-59.376625
0 days 14:59:59,6.0,12.0,1716.0,363.7587
0 days 14:59:59,6.0,12.0,1740.0,272.10855
0 days 14:59:59,6.0,12.0,1764.0,231.00229
0 days 14:59:59,6.0,12.0,1788.0,231.81958
0 days 14:59:59,6.0,12.0,1812.0,232.00713
0 days 14:59:59,6.0,12.0,1836.0,230.43236
0 days 14:59:59,6.0,12.0,1860.0,231.07912
0 days 14:59:59,6.0,12.0,1884.0,230.82164
0 days 14:59:59,6.0,12.0,1908.0,228.66805
0 days 14:59:59,6.0,12.0,1932.0,-59.058636
0 days 14:59:59,6.0,12.0,1956.0,245.68579
0 days 14:59:59,6.0,12.0,1980.0,247.73222
0 days 14:59:59,6.0,12.0,2004.0,247.73288
0 days 14:59:59,6.0,12.0,2028.0,386.22742
0 days 14:59:59,6.0,12.0,2052.0,231.96698
0 days 14:59:59,6.0,12.0,2076.0,244.71869
0 days 14:59:59,6.0,12.0,2100.0,245.58633
