time,zu1_xy,y,x,wspeed_10m*_xy
0 days 14:59:59,6.0,12.0,12.0,2.2804792
0 days 14:59:59,6.0,12.0,36.0,2.1716542
0 days 14:59:59,6.0,12.0,60.0,2.123626
0 days 14:59:59,6.0,12.0,84.0,2.6689684
0 days 14:59:59,6.0,12.0,108.0,2.3394454
0 days 14:59:59,6.0,12.0,132.0,2.2480388
0 days 14:59:59,6.0,12.0,156.0,2.76557
0 days 14:59:59,6.0,12.0,180.0,2.4294624
0 days 14:59:59,6.0,12.0,204.0,2.4025693
0 days 14:59:59,6.0,12.0,228.0,2.065551
0 days 14:59:59,6.0,12.0,252.0,2.8193974
0 days 14:59:59,6.0,12.0,276.0,2.3838801
0 days 14:59:59,6.0,12.0,300.0,2.4207683
0 days 14:59:59,6.0,12.0,324.0,2.62561
0 days 14:59:59,6.0,12.0,348.0,2.6531467
0 days 14:59:59,6.0,12.0,372.0,1.3251226
0 days 14:59:59,6.0,12.0,396.0,2.5719762
0 days 14:59:59,6.0,12.0,420.0,2.5018396
0 days 14:59:59,6.0,12.0,444.0,2.4941463
0 days 14:59:59,6.0,12.0,468.0,2.4962368
0 days 14:59:59,6.0,12.0,492.0,2.5543432
0 days 14:59:59,6.0,12.0,516.0,2.550726
0 days 14:59:59,6.0,12.0,540.0,2.5465903
0 days 14:59:59,6.0,12.0,564.0,2.9433541
0 days 14:59:59,6.0,12.0,588.0,2.476423
0 days 14:59:59,6.0,12.0,612.0,2.5150738
0 days 14:59:59,6.0,12.0,636.0,2.9237967
0 days 14:59:59,6.0,12.0,660.0,2.4173608
0 days 14:59:59,6.0,12.0,684.0,2.8360188
0 days 14:59:59,6.0,12.0,708.0,2.8747656
0 days 14:59:59,6.0,12.0,732.0,2.5308633
0 days 14:59:59,6.0,12.0,756.0,2.9008098
0 days 14:59:59,6.0,12.0,780.0,2.5641165
0 days 14:59:59,6.0,12.0,804.0,2.998507
0 days 14:59:59,6.0,12.0,828.0,2.2241688
0 days 14:59:59,6.0,12.0,852.0,2.235637
0 days 14:59:59,6.0,12.0,876.0,2.8925688
0 days 14:59:59,6.0,12.0,900.0,2.2441838
0 days 14:59:59,6.0,12.0,924.0,2.8756628
0 days 14:59:59,6.0,12.0,948.0,2.7073057
0 days 14:59:59,6.0,12.0,972.0,2.751538
0 days 14:59:59,6.0,12.0,996.0,2.3621063
0 days 14:59:59,6.0,12.0,1020.0,2.1916842
0 days 14:59:59,6.0,12.0,1044.0,2.6396515
0 days 14:59:59,6.0,12.0,1068.0,2.1555963
0 days 14:59:59,6.0,12.0,1092.0,2.0180242
0 days 14:59:59,6.0,12.0,1116.0,2.6548028
0 days 14:59:59,6.0,12.0,1140.0,2.2876043
0 days 14:59:59,6.0,12.0,1164.0,2.3262568
0 days 14:59:59,6.0,12.0,1188.0,2.3634906
0 days 14:59:59,6.0,12.0,1212.0,2.3886528
0 days 14:59:59,6.0,12.0,1236.0,2.7354677
0 days 14:59:59,6.0,12.0,1260.0,2.6413717
0 days 14:59:59,6.0,12.0,1284.0,2.3782365
0 days 14:59:59,6.0,12.0,1308.0,2.3437166
0 days 14:59:59,6.0,12.0,1332.0,2.7042048
0 days 14:59:59,6.0,12.0,1356.0,2.3951085
0 days 14:59:59,6.0,12.0,1380.0,2.4630725
0 days 14:59:59,6.0,12.0,1404.0,2.323029
0 days 14:59:59,6.0,12.0,1428.0,2.4010534
0 days 14:59:59,6.0,12.0,1452.0,2.798438
0 days 14:59:59,6.0,12.0,1476.0,2.8208814
0 days 14:59:59,6.0,12.0,1500.0,2.525595
0 days 14:59:59,6.0,12.0,1524.0,2.624549
0 days 14:59:59,6.0,12.0,1548.0,2.3346896
0 days 14:59:59,6.0,12.0,1572.0,2.465502
0 days 14:59:59,6.0,12.0,1596.0,2.4416802
0 days 14:59:59,6.0,12.0,1620.0,2.3471394
0 days 14:59:59,6.0,12.0,1644.0,2.583543
0 days 14:59:59,6.0,12.0,1668.0,2.4425998
0 days 14:59:59,6.0,12.0,1692.0,2.3886602
0 days 14:59:59,6.0,12.0,1716.0,2.4402118
0 days 14:59:59,6.0,12.0,1740.0,2.253388
0 days 14:59:59,6.0,12.0,1764.0,2.3316252
0 days 14:59:59,6.0,12.0,1788.0,2.5805748
0 days 14:59:59,6.0,12.0,1812.0,2.6984258
0 days 14:59:59,6.0,12.0,1836.0,2.704047
0 days 14:59:59,6.0,12.0,1860.0,2.5841286
0 days 14:59:59,6.0,12.0,1884.0,2.5636566
0 days 14:59:59,6.0,12.0,1908.0,2.6659107
0 days 14:59:59,6.0,12.0,1932.0,2.5787492
0 days 14:59:59,6.0,12.0,1956.0,2.2957265
0 days 14:59:59,6.0,12.0,1980.0,2.4482305
0 days 14:59:59,6.0,12.0,2004.0,2.2518108
0 days 14:59:59,6.0,12.0,2028.0,2.4411225
0 days 14:59:59,6.0,12.0,2052.0,2.5429893
0 days 14:59:59,6.0,12.0,2076.0,2.5888193
0 days 14:59:59,6.0,12.0,2100.0,2.3877757
0 days 14:59:59,6.0,12.0,2124.0,2.451522
0 days 14:59:59,6.0,12.0,2148.0,2.2946334
0 days 14:59:59,6.0,12.0,2172.0,2.2530673
0 days 14:59:59,6.0,12.0,2196.0,2.1321535
0 days 14:59:59,6.0,12.0,2220.0,2.1584146
0 days 14:59:59,6.0,12.0,2244.0,2.299213
0 days 14:59:59,6.0,12.0,2268.0,2.57738
0 days 14:59:59,6.0,12.0,2292.0,2.314634
0 days 14:59:59,6.0,12.0,2316.0,2.2789946
0 days 14:59:59,6.0,12.0,2340.0,2.106178
0 days 14:59:59,6.0,12.0,2364.0,2.0859454
0 days 14:59:59,6.0,12.0,2388.0,2.308789
0 days 14:59:59,6.0,12.0,2412.0,2.3445005
